treatmentstring,n,category,group
pulmonary|surgery / incision and drainage of thorax|removal of thoracostomy tube,46,,
pulmonary|medications|bronchodilator|beta-agonist|metaproterenol (Alupent),46,,
toxicology|drug overdose|agent specific therapy|calcium channel blockers overdose|glucagon,46,,
renal|dialysis|SLED,46,,
cardiovascular|myocardial ischemia / infarction|antiplatelet agent|aggregation inhibitors|ticlopidine,46,,
burns/trauma|intravenous fluids|blood product administration|cryoprecipitate,46,,
neurologic|procedures / diagnostics|EMG,45,,
cardiovascular|arrhythmias|anticoagulant administration|factor Xa inhibitor|fondaparinux,45,,
pulmonary|surgery / incision and drainage of thorax|repair of bronchus or trachea,45,,
gastrointestinal|medications|antiemetic|anticholinergic,45,,
cardiovascular|myocardial ischemia / infarction|thrombolytic therapy|tenecteplase,45,,
cardiovascular|other therapies|antibacterials|penicillins|ampicillin/sulbactam,45,,
surgery|cardiac therapies|beta blocker|esmolol,45,,
pulmonary|ventilation and oxygenation|oxygen therapy (40% to 60%)|face tent,45,,
neurologic|ICH/ cerebral infarct|anticonvulsants|pentobarbital,45,,
surgery|GI therapies|prokinetic agent,45,,
endocrine|pituitary and temperature regulation|surgery,44,,
neurologic|procedures / diagnostics|plasmapheresis,44,,
burns/trauma|intravenous fluids|Lactated Ringer's administration|fluid bolus (250-1000mls),44,,
renal|electrolyte correction|treatment of hypercalcemia|calcitonin,44,,
endocrine|intravenous fluid administration|blood product administration,44,,
surgery|tubes and catheters|feeding tube|nasogastric,44,,
infectious diseases|medications|anti-protozoal therapy,43,,
pulmonary|medications|antibacterials|rifampin,43,,
hematology|oncological issues|CT scan|pelvis,43,,
cardiovascular|myocardial ischemia / infarction|calcium channel blocker|verapamil,43,,
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|nicotinic acid,43,,
burns/trauma|burns|analgesics|non-narcotic analgesic|acetaminophen,43,,
pulmonary|radiologic procedures / bronchoscopy|inferior vena cava filter,43,,
cardiovascular|other therapies|antibacterials|penicillins|ampicillin,43,,
renal|medications|systemic antibiotics|metronidazole,43,,
toxicology|drug overdose|drug removal measures|hemodialysis,42,,
renal|procedures/radiology|abscess drainage|percutaneous,42,,
pulmonary|ventilation and oxygenation|mechanical ventilation|tidal volume > 10 ml/kg,42,,
surgery|infection|therapeutic antibacterials|fourth generation cephalosporin|cefepime,42,,
surgery|intravenous fluids / electrolytes|blood product administration|cryoprecipitate,42,,
surgery|intravenous fluids / electrolytes|fluid restriction,42,,
surgery|infection|therapeutic antibacterials|cephalosporin,42,,
pulmonary|vascular disorders|angiography,42,,
renal|electrolyte correction|treatment of hypercalcemia,42,,
gastrointestinal|endoscopy/gastric instrumentation|nasogastric tube|with continuous irrigation,41,,
infectious diseases|medications|pneumocystis therapy|atovaquone,41,,
cardiovascular|ventricular dysfunction|angiotensin II receptor blocker (ARB),41,,
pulmonary|radiologic procedures / bronchoscopy|lung biopsy|transbronchial,41,,
infectious diseases|medications|antimycobacterial therapy|MTB|pyrazinamide,41,,
cardiovascular|hypertension|angiotensin II receptor blocker (ARB)|irbesartan,40,,
gastrointestinal|medications|antiemetic|phenothiazine|perphenazine,40,,
renal|electrolyte correction|treatment of hypernatremia|isotonic fluid,40,,
infectious diseases|medications|therapeutic antibacterials|sulfonamide,40,,
infectious diseases|medications|antimycobacterial therapy|MTB|isoniazid (INH),40,,
neurologic|ICH/ cerebral infarct|surgery|intracranial angioplasty,40,,
pulmonary|surgery / incision and drainage of thorax|tracheostomy|performed during current admission for Head and Neck surgery|temporary,40,,
pulmonary|medications|antibacterials|daptomycin,39,,
renal|electrolyte correction|treatment of hypercalcemia|hydration with saline,39,,
toxicology|drug overdose|agent specific therapy|beta blockers overdose|calcium,39,,
burns/trauma|intravenous fluids|Lactated Ringer's administration|moderate volume resuscitation (150-250 mls/hr),39,,
surgery|infection|therapeutic antibacterials|penicillins,39,,
neurologic|seizure therapy|anticonvulsant|zonisamide,39,,
cardiovascular|other therapies|antibacterials|third generation cephalosporin|ceftazidime,39,,
infectious diseases|medications|antifungal therapy|itraconazole,38,,
neurologic|pain / agitation / altered mentation|analgesics|non-narcotic analgesic|naproxen,38,,
gastrointestinal|endoscopy/gastric instrumentation|fiberoptic colonoscopy|with decompression,38,,
infectious diseases|medications|antiretrovirals (HIV)|nucleoside reverse transcriptase inhibitors|emtrizabine,38,,
renal|medications|immunosuppressive therapy,38,,
pulmonary|vascular disorders|thrombolytic agent,38,,
gastrointestinal|medications|hormonal therapy (for varices)|somatostatin,38,,
infectious diseases|procedures|nuclear medicine scan,38,,
gastrointestinal|intravenous fluid administration|blood product administration|cryo-poor plasma,38,,
cardiovascular|vascular disorders|anticoagulant administration|thrombin inhibitors,37,,
oncology|medications|analgesics|PCA,37,,
pulmonary|medications|thrombolytic agent,37,,
pulmonary|medications|antibacterials|aminoglycoside|gentamicin,37,,
hematology|coagulation and platelets|plasmapheresis|apheresis,37,,
burns/trauma|burns|analgesics|PCA,37,,
renal|dialysis|arteriovenous shunt for renal dialysis,37,,
cardiovascular|arrhythmias|antiarrhythmics|class I antiarrhythmic|procainamide,37,,
surgery|analgesics /sedatives/ nmbs|neuromuscular blocking agent,37,,
surgery|nutrition|feeding tube|gastrostomy,37,enteral-nonspecific-intake,nutrition-enteral
gastrointestinal|endoscopy/gastric instrumentation|fiberoptic colonoscopy|with destruction of lesion,37,,
cardiovascular|myocardial ischemia / infarction|ACE inhibitor|ramipril,36,,
surgery|cardiac therapies|ACE inhibitor|lisinopril,36,,
toxicology|drug overdose|agent specific therapy|digoxin overdose/toxicity|digoxin antibody (Digibind),36,,
cardiovascular|myocardial ischemia / infarction|analgesics|transdermal analgesics,36,,
renal|urinary catheters|suprapubic catheter|temporary bladder catheter,36,,
pulmonary|medications|antimycobacterials (MTB) therapy|rifampin,36,,
pulmonary|vascular disorders|anticoagulant administration|thrombin inhibitors|argatroban,36,,
endocrine|electrolyte correction|treatment of hypernatremia|hypotonic fluid,36,,
cardiovascular|myocardial ischemia / infarction|ACE inhibitor|benazepril,36,,
neurologic|procedures / diagnostics|intracranial/cerebral perfusion pressure monitoring|cerebral tissue oxygenation monitor,36,,
infectious diseases|cultures / immuno-assays|cultures|BAL/PBS|AFB,35,,
cardiovascular|intravenous fluid|fluid restriction|1000-1500 ml,35,,
surgery|infection|therapeutic antibacterials|aminoglycoside|gentamicin,35,,
pulmonary|medications|analgesics|non-narcotic analgesic|ibuprofen,35,,
renal|medications|systemic antibiotics|carbapenem,35,,
gastrointestinal|intravenous fluid administration|Lactated Ringer's administration|fluid bolus (250-1000mls),35,,
toxicology|drug overdose|hypotonic fluid administration,35,,
gastrointestinal|medications|antiemetic|droperidol / other butyrophenone,35,,
burns/trauma|intravenous fluids|hypotonic fluid administration,34,,
infectious diseases|cultures / immuno-assays|cultures|BAL/PBS|bacterial,34,,
cardiovascular|cardiac surgery|heart transplant,34,,
gastrointestinal|medications|diuretic|po furosemide,34,,
cardiovascular|hypertension|angiotensin II receptor blocker (ARB)|telmisartan,34,,
surgery|intravenous fluids / electrolytes|administration of electrolytes|phosphate,34,,
pulmonary|vascular disorders|angiography|pulmonary angiogram,34,,
renal|dialysis|ultrafiltration (fluid removal only)|emergent,34,,
endocrine|thyroid disorder|thyroid hormone|liothyronine (T3),34,,
surgery|infection|therapeutic antibacterials|penicillins|piperacillin,34,,
infectious diseases|medications|antimycobacterial therapy|atypical mycobacteria|rifampin,34,,
burns/trauma|intravenous fluids|colloid administration,34,,
renal|medications|oral diuretic|oral diuretic - potassium sparing,33,,
gastrointestinal|medications|stress ulcer treatment|ranitidine,33,,
surgery|pulmonary therapies|bronchodilator|beta-agonist|isoproterenol (Isuprel),33,,
pulmonary|medications|bronchodilator|leukotriene receptor antagonists,33,,
pulmonary|medications|antimycobacterials (MTB) therapy,33,,
surgery|cardiac therapies|alpha/beta blocker,33,,
surgery|pulmonary therapies|oxygen therapy (< 40%)|trach collar,33,,
neurologic|neuromyopathy therapy|reversal of neuromuscular blockade|neostigmine,33,,
hematology|oncological issues|analgesics|continuous parenteral analgesics,33,,
burns/trauma|intravenous fluids|Lactated Ringer's administration|aggressive volume resuscitation (>250 mls/hr),32,,
renal|intravenous fluid|hypotonic fluid administration|D5 Lactated Ringer's,32,,
hematology|coagulation and platelets|antifibrinolytics,32,,
renal|medications|bicarbonate|citrate,32,,
cardiovascular|other therapies|antibacterials|penicillins,32,,
cardiovascular|other therapies|non-steroidal anti-inflammatory agent,32,,
hematology|red blood cell disorders|blood product administration|cryo-poor plasma,32,,
gastrointestinal|medications|antiemetic|anticholinergic|dimenhydrinate,31,,
gastrointestinal|endoscopy/gastric instrumentation|insertion of gastric balloon,31,,
surgery|nutrition|feeding tube|oral gastric,31,enteral-nonspecific-intake,nutrition-enteral
surgery|pulmonary therapies|mechanical ventilation|tidal volume 6-10 ml/kg,31,,
neurologic|ICH/ cerebral infarct|oral diuretic|thiazides,31,,
"gastrointestinal|radiology, diagnostic and procedures|MRI|pelvis",31,,
renal|electrolyte correction|treatment of hyponatremia|fluid restriction|500-1000 ml,31,,
surgery|seizure therapy|anticonvulsant|valproate,31,,
gastrointestinal|medications|antiemetic|phenothiazine|chlorpromazine,31,,
gastrointestinal|medications|antibiotics|linezolid (Zyvox),31,,
burns/trauma|burns|analgesics|oral analgesics,31,,
surgery|intravenous fluids / electrolytes|administration of electrolytes|oral,31,,
surgery|pulmonary therapies|non-invasive ventilation|face mask,31,,
pulmonary|medications|pneumocystis therapy|bactrim,31,,
pulmonary|ventilation and oxygenation|mechanical ventilation|non-invasive ventilation|nasal mask,31,,
renal|dialysis|ultrafiltration (fluid removal only)|for chronic renal failure,31,,
cardiovascular|vascular disorders|anticoagulant administration|thrombin inhibitors|bivalirudin,31,,
toxicology|drug overdose|vasopressors,30,,
infectious diseases|medications|therapeutic antibacterials|penicillins|penicillin G aqueous,30,,
renal|intravenous fluid|fluid restriction|500-1000 ml,30,,
surgery|pulmonary therapies|oxygen therapy (40% to 60%)|50-60%,30,,
infectious diseases|procedures|vascular catheter - removal|tip cultured,30,,
renal|electrolyte correction|treatment of hyperkalemia|parenteral beta-agonist,30,,
neurologic|ICH/ cerebral infarct|intravenous diuretic|bolus infusion,30,,
surgery|cardiac therapies|glycoprotein IIb/IIIa inhibitor|eptifibatide,30,,
cardiovascular|shock|pericardiocentesis,30,,
cardiovascular|other therapies|antibacterials|directed antibacterial therapy,30,,
gastrointestinal|endoscopy/gastric instrumentation|ERCP|with papillotomy,30,,
infectious diseases|procedures|CT scan|spine,30,,
surgery|GI therapies|stress ulcer treatment|famotidine,30,,
toxicology|drug overdose|hypotonic fluid administration|D5 half-normal saline,29,,
toxicology|drug overdose|agent specific therapy|acetaminophen overdose,29,,
surgery|pulmonary therapies|ventilator weaning|slow,29,,
toxicology|drug overdose|vasopressors|norepinephrine <= 0.1 micrograms/kg/min,29,,
surgery|pulmonary therapies|oxygen therapy (< 40%)|30-40%,29,,
hematology|coagulation and platelets|bone marrow aspiration procedure,29,,
surgery|infection|cultures|biopsy material,29,,
infectious diseases|cultures / immuno-assays|cultures|pericardial fluid,29,,
cardiovascular|shock|diagnostic ultrasound of heart|transesophageal echocardiography,29,,
hematology|coagulation and platelets|anticoagulant administration|thrombin inhibitors,29,,
surgery|cardiac therapies|intravenous diuretic|IV diuretic - continuous infusion,29,,
toxicology|drug overdose|agent specific therapy|benzodiazepine overdose,29,,
pulmonary|surgery / incision and drainage of thorax|pulmonary resection|pneumonectomy,29,,
endocrine|pituitary and temperature regulation|passive external rewarming,29,,
infectious diseases|medications|antiretrovirals (HIV)|protease inhibitors|atazanavir,29,,
infectious diseases|medications|pneumocystis therapy,28,,
infectious diseases|medications|therapeutic antibacterials|monobactam,28,,
oncology|procedures|bone marrow aspiration,28,,
surgery|pulmonary therapies|mechanical ventilation|pressure support,28,,
hematology|red blood cell disorders|ferrous iron compound|iron dextran,28,,
toxicology|drug overdose|agent specific therapy|beta blockers overdose|isoproterenol,28,,
surgery|wounds / temperature|active warming|warmed IV fluids,28,,
surgery|cardiac therapies|alpha/beta blocker|carvedilol,28,,
gastrointestinal|medications|immunoregulatory agents,28,,
hematology|coagulation and platelets|systemic glucocorticoid|stress doses,28,,
endocrine|electrolyte correction|treatment of hypernatremia,28,,
burns/trauma|trauma|echocardiography|transesophageal,28,,
surgery|infection|cultures|blood|peripheral,28,,
endocrine|electrolyte correction|treatment of hyponatremia|fluid restriction|1000-1500 ml,28,,
